mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior,log_likelihood_eob
33.302530616593046,32.9903905697783,-0.32200536924268297,-0.508951203381527,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.03242960091242,-7.8601850574721635,-36197.303191987354
38.81903922702364,33.648001682960135,0.09918237085449885,-0.27681353849887846,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.05315485274674,-7.8601850574721635,-36709.05073230721
52.30264144872496,34.04896683043191,0.23707366989278642,0.4319181295456589,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.16683463628613,-7.8601850574721635,-37092.64155190739
38.07108088043864,32.76184631769911,0.03512648885016805,-0.41360473887549337,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.275398123999494,-7.8601850574721635,-36494.43356338585
49.66234677262483,34.38040790158825,0.03831950904878824,0.4655858007453985,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.31550583614191,-7.8601850574721635,-36828.79898081701
40.54733760919062,39.170038466645636,0.3579569475114383,-0.2747606325166242,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.3737326685094,-7.8601850574721635,-36961.861267336455
37.00959853094483,32.059413006429715,-0.7757378161360006,0.34125427706110684,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.3813238432896,-7.8601850574721635,-36434.6651852614
40.242629046488005,34.1293522683585,-0.22419404627096298,0.32852625882816033,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.440176315301876,-7.8601850574721635,-36836.85736211176
48.82579089988623,34.781574534285966,0.5142191922121152,-0.30327878602541464,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.45315793532991,-7.8601850574721635,-36806.09960358893
44.81969017389763,36.56957296641819,0.01189073257744936,0.28818302328235146,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.50989433676652,-7.8601850574721635,-37058.09548597394
40.86441090525138,37.21773011993274,0.26299717714027265,-0.31860934495965915,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.531714300124186,-7.8601850574721635,-36925.018703179565
51.13635552191882,36.08755630868364,0.22171074162187648,0.5491767998915745,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.63491391409376,-7.8601850574721635,-36621.74948337046
52.126881170100894,34.40137154576049,0.49575655678759706,-0.04367381424311751,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.6695428591907,-7.8601850574721635,-37411.069424224035
49.263599222653156,34.907600846649444,-0.13177924896808402,0.7774016985426395,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.70237073200161,-7.8601850574721635,-37071.29317968439
60.93166835912899,30.065388506083302,0.3685258490824649,0.4049399500061609,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.76911456654979,-7.8601850574721635,-37024.65858614623
36.928677542771084,31.60728196021006,-0.18995651158353052,-0.4601668374771123,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.79397508287568,-7.8601850574721635,-36279.282969310916
39.00625624205748,35.267261721149275,-0.4085312611087244,0.5167717202982852,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.83008082140204,-7.8601850574721635,-36859.234285430204
48.54642546403001,30.836143637731116,0.38292170240235585,-0.7077747613773752,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.84473423897782,-7.8601850574721635,-36741.604673531765
53.6034882737243,33.185245656683556,0.045772519049754656,0.7727531077659544,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.88240908341143,-7.8601850574721635,-37096.823296886134
42.696645852913726,39.965549400450534,0.516092073886021,-0.18243371066556197,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.90330807305169,-7.8601850574721635,-37020.25189193892
